schema_version,timestamp,unit,target_value
1,2020-10-21,shares,855.6515585683476
1,2020-10-22,shares,0.0
1,2020-10-23,shares,0.0
1,2020-10-26,shares,0.0
1,2020-10-27,shares,-857.6329443279933
1,2020-10-28,shares,-899.2806002193038
1,2020-10-29,shares,-867.1522742337311
1,2020-10-30,shares,-918.6110549267345
1,2020-11-02,shares,-919.3711785075665
1,2020-11-03,shares,-905.4690129426141
1,2020-11-04,shares,-869.9434767712639
1,2020-11-05,shares,-840.1243470179149
1,2020-11-06,shares,-842.5309456823633
1,2020-11-09,shares,0.0
1,2020-11-10,shares,862.2919629852333
1,2020-11-11,shares,836.8901312895657
1,2020-11-12,shares,838.8558071302359
1,2020-11-13,shares,838.5040936505283
1,2020-11-16,shares,831.2551742577767
1,2020-11-17,shares,837.5910923127987
1,2020-11-18,shares,847.2422353150151
1,2020-11-19,shares,842.8860461434324
1,2020-11-20,shares,852.2243320345895
1,2020-11-23,shares,878.3487162077627
1,2020-11-24,shares,868.2816843784947
1,2020-11-25,shares,0.0
1,2020-11-27,shares,0.0
1,2020-11-30,shares,0.0
1,2020-12-01,shares,0.0
1,2020-12-02,shares,812.4796759205825
1,2020-12-03,shares,813.4048968126583
1,2020-12-04,shares,817.9959100204499
1,2020-12-07,shares,808.0808080808081
1,2020-12-08,shares,803.9877971395598
1,2020-12-09,shares,821.1529069008369
1,2020-12-10,shares,811.4248761229353
1,2020-12-11,shares,816.9266972332741
1,2020-12-14,shares,821.1529069008369
1,2020-12-15,shares,781.9831259601252
1,2020-12-16,shares,782.4114068553641
1,2020-12-17,shares,777.0007954251612
1,2020-12-18,shares,789.5152148169029
1,2020-12-21,shares,779.8487353339566
1,2020-12-22,shares,758.2650614007725
1,2020-12-23,shares,763.5918973224298
1,2020-12-24,shares,757.7479660151148
1,2020-12-28,shares,731.5823996920781
1,2020-12-29,shares,741.4547610319906
1,2020-12-30,shares,747.8312824343406
1,2020-12-31,shares,753.6362812575753
1,2021-01-04,shares,772.7377881937231
1,2021-01-05,shares,763.3005434160378
1,2021-01-06,shares,789.889425002177
1,2021-01-07,shares,763.8252474687275
1,2021-01-08,shares,757.288888216113
1,2021-01-11,shares,0.0
1,2021-01-12,shares,0.0
1,2021-01-13,shares,0.0
1,2021-01-14,shares,0.0
1,2021-01-15,shares,-786.5345326416751
1,2021-01-19,shares,-782.2889663426905
1,2021-01-20,shares,-757.4036273919941
1,2021-01-21,shares,-730.6203226965883
1,2021-01-22,shares,-719.0623048351937
1,2021-01-25,shares,699.6921444246752
1,2021-01-26,shares,698.5191215559274
1,2021-01-27,shares,703.9279298787417
1,2021-01-28,shares,729.4478274952056
1,2021-01-29,shares,757.8053570187592
1,2021-02-01,shares,745.4897901819804
1,2021-02-02,shares,740.7955843446798
1,2021-02-03,shares,746.6029429389197
1,2021-02-04,shares,727.85501451523
1,2021-02-05,shares,731.2079849125872
1,2021-02-08,shares,730.406817070852
1,2021-02-09,shares,735.2400855730785
1,2021-02-10,shares,738.6069905518127
1,2021-02-11,shares,740.0280943282881
1,2021-02-12,shares,0.0
1,2021-02-16,shares,0.0
